,Tree Depth,Number of Estimators,Accuracy Score
0,2,100,0.7287908638233384
0,2,500,0.7290593201991773
0,2,1000,0.7290593201991773
0,5,100,0.7481244136537489
0,5,500,0.7473190445262322
0,5,1000,0.747587140073609
0,10,100,0.7580536912751678
0,10,500,0.7588597820596089
0,10,1000,0.7577852348993289
